YYYY	MM	DD	hh	mm	TA
2017	7	7	0	0	18.9
2017	7	8	0	0	18.2
2017	7	9	0	0	15.5
2017	7	10	0	0	13.0
2017	7	11	0	0	12.6
2017	7	12	0	0	13.2
2017	7	13	0	0	12.0
2017	7	14	0	0	11.2
2017	7	15	0	0	9.9
2017	7	16	0	0	11.5
2017	7	17	0	0	15.3
2017	7	18	0	0	17.5
2017	7	19	0	0	18.1
2017	7	20	0	0	16.1
2017	7	21	0	0	14.1
2017	7	22	0	0	11.9
2017	7	23	0	0	9.6
2017	7	24	0	0	7.4
2017	7	25	0	0	8.3
2017	7	26	0	0	9.1
2017	7	27	0	0	10.0
2017	7	28	0	0	12.0
2017	7	29	0	0	13.9
2017	7	30	0	0	15.4
2017	7	31	0	0	16.8
2017	8	1	0	0	19.3
2017	8	2	0	0	17.0
2017	8	3	0	0	18.4
2017	8	4	0	0	15.6
2017	8	5	0	0	14.4
2017	8	6	0	0	11.6
2017	8	7	0	0	12.5
2017	8	8	0	0	11.7
2017	8	9	0	0	9.0
2017	8	10	0	0	6.2
2017	8	11	0	0	5.9
2017	8	12	0	0	8.8
2017	8	13	0	0	11.8
2017	8	14	0	0	14.7
2017	8	15	0	0	15.9
2017	8	16	0	0	15.4
2017	8	17	0	0	14.8
2017	8	18	0	0	13.7
2017	8	19	0	0	10.8
2017	8	20	0	0	7.8
2017	8	21	0	0	8.9
2017	8	22	0	0	12.2
2017	8	23	0	0	16.9
2017	8	24	0	0	15.4
2017	8	25	0	0	16.9
2017	8	26	0	0	17.9
2017	8	27	0	0	17.4
2017	8	28	0	0	17.3
2017	8	29	0	0	18.7
2017	8	30	0	0	18.1
2017	8	31	0	0	9.0
2017	9	1	0	0	8.0
2017	9	2	0	0	7.1
2017	9	3	0	0	6.1
2017	9	4	0	0	8.9
2017	9	5	0	0	12.0
2017	9	6	0	0	10.1
2017	9	7	0	0	8.1
2017	9	8	0	0	6.2
2017	9	9	0	0	6.0
2017	9	10	0	0	5.3
2017	9	11	0	0	4.6
2017	9	12	0	0	6.3
2017	9	13	0	0	8.0
2017	9	14	0	0	5.9
2017	9	15	0	0	3.8
2017	9	16	0	0	3.6
2017	9	17	0	0	2.5
2017	9	18	0	0	3.9
2017	9	19	0	0	3.9
2017	9	20	0	0	4.4
2017	9	21	0	0	7.0
2017	9	22	0	0	9.6
2017	9	23	0	0	8.4
2017	9	24	0	0	7.9
2017	9	25	0	0	8.3
2017	9	26	0	0	7.6
2017	9	27	0	0	9.1
2017	9	28	0	0	10.5
2017	9	29	0	0	12.0
2017	9	30	0	0	9.3
2017	10	1	0	0	5.9
2017	10	2	0	0	8.2
2017	10	3	0	0	5.8
2017	10	4	0	0	5.5
2017	10	5	0	0	7.2
2017	10	6	0	0	2.1
2017	10	7	0	0	3.6
2017	10	8	0	0	4.2
2017	10	9	0	0	3.4
2017	10	10	0	0	4.6
2017	10	11	0	0	7.4
2017	10	12	0	0	7.4
2017	10	13	0	0	10.2
2017	10	14	0	0	13.3
2017	10	15	0	0	14.7
2017	10	16	0	0	15.4
2017	10	17	0	0	14.3
2017	10	18	0	0	12.7
2017	10	19	0	0	12.3
2017	10	20	0	0	9.3
2017	10	21	0	0	9.5
2017	10	22	0	0	3.2
2017	10	23	0	0	1.9
2017	10	24	0	0	5.2
2017	10	25	0	0	10.9
2017	10	26	0	0	11.7
2017	10	27	0	0	4.1
2017	10	28	0	0	-0.2
2017	10	29	0	0	0.9
2017	10	30	0	0	-2.9
2017	10	31	0	0	2.5
2017	11	1	0	0	7.7
2017	11	2	0	0	4.4
2017	11	3	0	0	5.5
2017	11	4	0	0	6.3
2017	11	5	0	0	0.9
2017	11	6	0	0	-3.3
2017	11	7	0	0	-1.7
2017	11	8	0	0	-1.5
2017	11	9	0	0	-1.3
2017	11	10	0	0	-1.8
2017	11	11	0	0	0.2
2017	11	12	0	0	0.2
2017	11	13	0	0	-2.1
2017	11	14	0	0	-4.3
2017	11	15	0	0	-0.7
2017	11	16	0	0	1.1
2017	11	17	0	0	0.0
2017	11	18	0	0	-3.4
2017	11	19	0	0	-4.3
2017	11	20	0	0	-4.1
2017	11	21	0	0	1.9
2017	11	22	0	0	6.2
2017	11	23	0	0	6.0
2017	11	24	0	0	4.6
2017	11	25	0	0	-1.4
2017	11	26	0	0	-3.1
2017	11	27	0	0	-4.7
2017	11	28	0	0	-3.4
2017	11	29	0	0	-5.1
2017	11	30	0	0	-6.7
2017	12	1	0	0	-8.2
2017	12	2	0	0	-8.3
2017	12	3	0	0	-8.3
2017	12	4	0	0	-3.7
2017	12	5	0	0	-3.7
2017	12	6	0	0	0.7
2017	12	7	0	0	0.0
2017	12	8	0	0	-4.3
2017	12	9	0	0	-4.6
2017	12	10	0	0	-4.8
2017	12	11	0	0	-0.2
2017	12	12	0	0	-5.9
2017	12	13	0	0	-5.4
2017	12	14	0	0	-3.0
2017	12	15	0	0	-4.6
2017	12	16	0	0	-5.3
2017	12	17	0	0	-5.6
2017	12	18	0	0	-5.8
2017	12	19	0	0	-4.8
2017	12	20	0	0	-2.9
2017	12	21	0	0	0.3
2017	12	22	0	0	1.2
2017	12	23	0	0	1.2
2017	12	24	0	0	5.2
2017	12	25	0	0	4.1
2017	12	26	0	0	-1.4
2017	12	27	0	0	-2.9
2017	12	28	0	0	-5.0
2017	12	29	0	0	-7.1
2017	12	30	0	0	1.0
2017	12	31	0	0	2.9
2018	1	1	0	0	-0.2
2018	1	2	0	0	-3.3
2018	1	3	0	0	-0.1
2018	1	4	0	0	2.1
2018	1	5	0	0	1.6
2018	1	6	0	0	2.3
2018	1	7	0	0	3.6
2018	1	8	0	0	6.0
2018	1	9	0	0	2.7
2018	1	10	0	0	-0.8
2018	1	11	0	0	-1.5
2018	1	12	0	0	-2.7
2018	1	13	0	0	-2.8
2018	1	14	0	0	-0.8
2018	1	15	0	0	-2.2
2018	1	16	0	0	-1.1
2018	1	17	0	0	-1.5
2018	1	18	0	0	-1.9
2018	1	19	0	0	-2.8
2018	1	20	0	0	-3.7
2018	1	21	0	0	-3.9
2018	1	22	0	0	1.6
2018	1	23	0	0	-1.9
2018	1	24	0	0	3.5
2018	1	25	0	0	3.0
2018	1	26	0	0	0.0
2018	1	27	0	0	-0.9
2018	1	28	0	0	0.0
2018	1	29	0	0	2.0
2018	1	30	0	0	0.4
2018	1	31	0	0	-1.3
2018	2	1	0	0	-4.0
2018	2	2	0	0	-6.7
2018	2	3	0	0	-6.7
2018	2	4	0	0	-6.2
2018	2	5	0	0	-5.6
2018	2	6	0	0	-0.8
2018	2	7	0	0	-5.9
2018	2	8	0	0	-5.5
2018	2	9	0	0	-5.7
2018	2	10	0	0	-6.4
2018	2	11	0	0	-7.0
2018	2	12	0	0	-7.7
2018	2	13	0	0	-9.8
2018	2	14	0	0	-7.0
2018	2	15	0	0	-0.7
2018	2	16	0	0	-1.2
2018	2	17	0	0	-2.3
2018	2	18	0	0	-6.7
2018	2	19	0	0	-7.1
2018	2	20	0	0	-8.2
2018	2	21	0	0	-9.2
2018	2	22	0	0	-10.4
2018	2	23	0	0	-8.4
2018	2	24	0	0	-7.3
2018	2	25	0	0	-12.3
2018	2	26	0	0	-15.6
2018	2	27	0	0	-16.5
2018	2	28	0	0	-15.5
2018	3	1	0	0	-2.3
2018	3	2	0	0	-1.0
2018	3	3	0	0	-2.3
2018	3	4	0	0	0.0
2018	3	5	0	0	0.1
2018	3	6	0	0	0.2
2018	3	7	0	0	-2.9
2018	3	8	0	0	-0.3
2018	3	9	0	0	2.3
2018	3	10	0	0	3.7
2018	3	11	0	0	5.5
2018	3	12	0	0	0.8
2018	3	13	0	0	1.1
2018	3	14	0	0	1.3
2018	3	15	0	0	1.6
2018	3	16	0	0	-0.5
2018	3	17	0	0	-2.4
2018	3	18	0	0	-4.9
2018	3	19	0	0	-4.9
2018	3	20	0	0	-5.6
2018	3	21	0	0	-6.2
2018	3	22	0	0	-6.9
2018	3	23	0	0	-3.3
2018	3	24	0	0	-1.6
2018	3	25	0	0	0.5
2018	3	26	0	0	-1.1
2018	3	27	0	0	0.0
2018	3	28	0	0	1.1
2018	3	29	0	0	0.3
2018	3	30	0	0	-0.6
2018	3	31	0	0	0.3
2018	4	1	0	0	1.1
2018	4	2	0	0	2.0
2018	4	3	0	0	6.5
2018	4	4	0	0	3.4
2018	4	5	0	0	3.5
2018	4	6	0	0	3.6
2018	4	7	0	0	12.7
2018	4	8	0	0	11.9
2018	4	9	0	0	7.9
2018	4	10	0	0	6.5
2018	4	11	0	0	5.0
2018	4	12	0	0	6.8
2018	4	13	0	0	3.8
2018	4	14	0	0	6.5
2018	4	15	0	0	7.7
2018	4	16	0	0	5.9
2018	4	17	0	0	8.6
2018	4	18	0	0	10.1
2018	4	19	0	0	13.4
2018	4	20	0	0	14.4
2018	4	21	0	0	14.9
2018	4	22	0	0	14.4
2018	4	23	0	0	8.8
2018	4	24	0	0	8.0
2018	4	25	0	0	7.6
2018	4	26	0	0	7.2
2018	4	27	0	0	6.8
2018	4	28	0	0	8.2
2018	4	29	0	0	11.3
2018	4	30	0	0	6.2
2018	5	1	0	0	3.6
2018	5	2	0	0	5.0
2018	5	3	0	0	5.8
2018	5	4	0	0	9.3
2018	5	5	0	0	11.4
2018	5	6	0	0	12.7
2018	5	7	0	0	11.2
2018	5	8	0	0	12.4
2018	5	9	0	0	10.6
2018	5	10	0	0	5.2
2018	5	11	0	0	7.7
2018	5	12	0	0	11.9
2018	5	13	0	0	6.3
2018	5	14	0	0	6.2
2018	5	15	0	0	5.5
2018	5	16	0	0	4.7
2018	5	17	0	0	6.2
2018	5	18	0	0	7.7
2018	5	19	0	0	7.3
2018	5	20	0	0	6.5
2018	5	21	0	0	10.3
2018	5	22	0	0	11.0
2018	5	23	0	0	9.7
2018	5	24	0	0	10.9
2018	5	25	0	0	12.8
2018	5	26	0	0	15.2
2018	5	27	0	0	14.8
2018	5	28	0	0	15.2
2018	5	29	0	0	12.5
2018	5	30	0	0	14.4
2018	5	31	0	0	13.4
2018	6	1	0	0	12.5
2018	6	2	0	0	11.5
2018	6	3	0	0	13.4
2018	6	4	0	0	14.1
2018	6	5	0	0	14.2
2018	6	6	0	0	13.6
2018	6	7	0	0	13.1
2018	6	8	0	0	12.6
2018	6	9	0	0	13.4
2018	6	10	0	0	14.7
2018	6	11	0	0	13.4
2018	6	12	0	0	11.6
2018	6	13	0	0	7.7
2018	6	14	0	0	8.5
2018	6	15	0	0	11.0
2018	6	16	0	0	13.4
2018	6	17	0	0	12.0
2018	6	18	0	0	12.1
2018	6	19	0	0	14.1
2018	6	20	0	0	16.0
2018	6	21	0	0	14.7
2018	6	22	0	0	6.5
2018	6	23	0	0	7.8
2018	6	24	0	0	9.1
2018	6	25	0	0	10.0
2018	6	26	0	0	10.6
2018	6	27	0	0	13.0
2018	6	28	0	0	11.2
2018	6	29	0	0	14.4
2018	6	30	0	0	16.1
2018	7	1	0	0	16.8
2018	7	2	0	0	17.9
2018	7	3	0	0	15.1
2018	7	4	0	0	15.8
2018	7	5	0	0	11.4
2018	7	6	0	0	12.0
2018	7	7	0	0	12.5
2018	7	8	0	0	13.5
2018	7	9	0	0	13.7
2018	7	10	0	0	12.7
2018	7	11	0	0	11.6
2018	7	12	0	0	10.6
2018	7	13	0	0	14.0
2018	7	14	0	0	15.8
2018	7	15	0	0	14.0
2018	7	16	0	0	14.3
2018	7	17	0	0	14.9
2018	7	18	0	0	14.9
2018	7	19	0	0	15.6
2018	7	20	0	0	15.6
2018	7	21	0	0	13.7
2018	7	22	0	0	11.7
2018	7	23	0	0	13.5
2018	7	24	0	0	16.5
2018	7	25	0	0	18.3
2018	7	26	0	0	18.8
2018	7	27	0	0	18.3
2018	7	28	0	0	14.8
2018	7	29	0	0	16.6
2018	7	30	0	0	19.6
2018	7	31	0	0	20.9
2018	8	1	0	0	20.4
2018	8	2	0	0	20.0
2018	8	3	0	0	19.5
2018	8	4	0	0	20.8
2018	8	5	0	0	19.4
2018	8	6	0	0	19.9
2018	8	7	0	0	19.4
2018	8	8	0	0	17.0
2018	8	9	0	0	15.4
2018	8	10	0	0	15.3
2018	8	11	0	0	15.1
2018	8	12	0	0	15.0
2018	8	13	0	0	14.2
2018	8	14	0	0	13.4
2018	8	15	0	0	12.6
2018	8	16	0	0	16.3
2018	8	17	0	0	15.9
2018	8	18	0	0	15.8
2018	8	19	0	0	15.7
2018	8	20	0	0	15.6
2018	8	21	0	0	16.4
2018	8	22	0	0	18.3
2018	8	23	0	0	16.6
2018	8	24	0	0	13.1
2018	8	25	0	0	9.7
2018	8	26	0	0	6.2
2018	8	27	0	0	10.7
2018	8	28	0	0	14.1
2018	8	29	0	0	14.0
2018	8	30	0	0	10.5
2018	8	31	0	0	6.9
2018	9	1	0	0	7.0
2018	9	2	0	0	7.0
2018	9	3	0	0	8.8
2018	9	4	0	0	10.6
2018	9	5	0	0	13.4
2018	9	6	0	0	12.2
2018	9	7	0	0	11.2
2018	9	8	0	0	10.1
2018	9	9	0	0	13.5
2018	9	10	0	0	15.2
2018	9	11	0	0	15.7
2018	9	12	0	0	17.2
2018	9	13	0	0	13.5
2018	9	14	0	0	10.3
2018	9	15	0	0	8.8
2018	9	16	0	0	12.3
2018	9	17	0	0	14.6
2018	9	18	0	0	15.3
2018	9	19	0	0	15.8
2018	9	20	0	0	15.8
2018	9	21	0	0	11.2
2018	9	22	0	0	10.5
2018	9	23	0	0	9.7
2018	9	24	0	0	5.6
2018	9	25	0	0	1.5
2018	9	26	0	0	12.5
2018	9	27	0	0	14.9
2018	9	28	0	0	9.7
2018	9	29	0	0	5.6
2018	9	30	0	0	10.3
2018	10	1	0	0	8.5
2018	10	2	0	0	6.6
2018	10	3	0	0	4.8
2018	10	4	0	0	8.3
2018	10	5	0	0	12.3
2018	10	6	0	0	11.4
2018	10	7	0	0	9.1
2018	10	8	0	0	10.1
2018	10	9	0	0	12.8
2018	10	10	0	0	13.3
2018	10	11	0	0	12.6
2018	10	12	0	0	13.0
2018	10	13	0	0	14.2
2018	10	14	0	0	13.5
2018	10	15	0	0	11.9
2018	10	16	0	0	11.9
2018	10	17	0	0	10.9
2018	10	18	0	0	8.7
2018	10	19	0	0	8.1
2018	10	20	0	0	7.6
2018	10	21	0	0	6.9
2018	10	22	0	0	4.8
2018	10	23	0	0	5.1
2018	10	24	0	0	5.1
2018	10	25	0	0	7.8
2018	10	26	0	0	6.6
2018	10	27	0	0	-1.7
2018	10	28	0	0	-3.8
2018	10	29	0	0	1.8
2018	10	30	0	0	-2.4
2018	10	31	0	0	4.5
2018	11	1	0	0	5.0
2018	11	2	0	0	2.2
2018	11	3	0	0	3.3
2018	11	4	0	0	11.0
2018	11	5	0	0	10.7
2018	11	6	0	0	8.6
2018	11	7	0	0	5.4
2018	11	8	0	0	3.0
2018	11	9	0	0	6.7
2018	11	10	0	0	7.1
2018	11	11	0	0	5.2
2018	11	12	0	0	9.1
2018	11	13	0	0	4.0
2018	11	14	0	0	6.4
2018	11	15	0	0	6.4
2018	11	16	0	0	4.9
2018	11	17	0	0	-1.9
2018	11	18	0	0	-3.4
2018	11	19	0	0	-7.0
2018	11	20	0	0	-2.3
2018	11	21	0	0	2.2
2018	11	22	0	0	1.9
2018	11	23	0	0	3.1
2018	11	24	0	0	-0.3
2018	11	25	0	0	-0.2
2018	11	26	0	0	-3.3
2018	11	27	0	0	-3.8
2018	11	28	0	0	-1.8
2018	11	29	0	0	5.5
2018	11	30	0	0	0.7
2018	12	1	0	0	-0.9
2018	12	2	0	0	3.3
2018	12	3	0	0	4.5
2018	12	4	0	0	0.6
2018	12	5	0	0	3.3
2018	12	6	0	0	3.3
2018	12	7	0	0	0.7
2018	12	8	0	0	-1.9
2018	12	9	0	0	-0.9
2018	12	10	0	0	-3.6
2018	12	11	0	0	-6.3
2018	12	12	0	0	-7.5
2018	12	13	0	0	-7.6
2018	12	14	0	0	-7.6
2018	12	15	0	0	-7.2
2018	12	16	0	0	-2.5
2018	12	17	0	0	-2.5
2018	12	18	0	0	-1.1
2018	12	19	0	0	-0.1
2018	12	20	0	0	-1.9
2018	12	21	0	0	1.2
2018	12	22	0	0	1.6
2018	12	23	0	0	1.9
2018	12	24	0	0	-1.2
2018	12	25	0	0	-1.3
2018	12	26	0	0	3.6
2018	12	27	0	0	7.3
2018	12	28	0	0	4.1
2018	12	29	0	0	1.2
2018	12	30	0	0	-2.4
2018	12	31	0	0	-0.4
2019	1	1	0	0	-2.3
2019	1	2	0	0	-6.5
2019	1	3	0	0	-8.8
2019	1	4	0	0	-7.1
2019	1	5	0	0	-5.0
2019	1	6	0	0	-4.0
2019	1	7	0	0	-5.0
2019	1	8	0	0	-4.1
2019	1	9	0	0	-6.6
2019	1	10	0	0	-7.7
2019	1	11	0	0	-8.1
2019	1	12	0	0	-4.1
2019	1	13	0	0	-1.6
2019	1	14	0	0	-3.3
2019	1	15	0	0	-5.2
2019	1	16	0	0	-1.3
2019	1	17	0	0	-3.2
2019	1	18	0	0	-8.8
2019	1	19	0	0	-7.6
2019	1	20	0	0	-4.5
2019	1	21	0	0	-4.7
2019	1	22	0	0	-5.9
2019	1	23	0	0	-7.7
2019	1	24	0	0	-10.8
2019	1	25	0	0	-10.0
2019	1	26	0	0	-3.5
2019	1	27	0	0	-3.1
2019	1	28	0	0	-6.7
2019	1	29	0	0	-7.7
2019	1	30	0	0	-7.4
2019	1	31	0	0	-7.2
2019	2	1	0	0	-1.3
2019	2	2	0	0	-2.4
2019	2	3	0	0	-5.9
2019	2	4	0	0	-7.6
2019	2	5	0	0	-2.3
2019	2	6	0	0	2.2
2019	2	7	0	0	-1.0
2019	2	8	0	0	-2.5
2019	2	9	0	0	-0.6
2019	2	10	0	0	-0.2
2019	2	11	0	0	-5.2
2019	2	12	0	0	-5.8
2019	2	13	0	0	1.0
2019	2	14	0	0	6.9
2019	2	15	0	0	8.4
2019	2	16	0	0	10.0
2019	2	17	0	0	7.9
2019	2	18	0	0	6.5
2019	2	19	0	0	0.9
2019	2	20	0	0	1.0
2019	2	21	0	0	3.6
2019	2	22	0	0	1.0
2019	2	23	0	0	-0.3
2019	2	24	0	0	2.6
2019	2	25	0	0	4.3
2019	2	26	0	0	7.8
2019	2	27	0	0	10.2
2019	2	28	0	0	5.0
2019	3	1	0	0	-0.5
2019	3	2	0	0	-1.1
2019	3	3	0	0	-0.1
2019	3	4	0	0	0.9
2019	3	5	0	0	2.0
2019	3	6	0	0	3.0
2019	3	7	0	0	0.1
2019	3	8	0	0	0.6
2019	3	9	0	0	1.2
2019	3	10	0	0	1.7
2019	3	11	0	0	-0.5
2019	3	12	0	0	-2.6
2019	3	13	0	0	-2.7
2019	3	14	0	0	-2.8
2019	3	15	0	0	1.2
2019	3	16	0	0	3.0
2019	3	17	0	0	1.7
2019	3	18	0	0	-4.7
2019	3	19	0	0	-4.1
2019	3	20	0	0	-2.3
2019	3	21	0	0	0.7
2019	3	22	0	0	6.9
2019	3	23	0	0	6.7
2019	3	24	0	0	4.8
2019	3	25	0	0	-0.6
2019	3	26	0	0	-1.7
2019	3	27	0	0	-1.5
2019	3	28	0	0	1.6
2019	3	29	0	0	3.2
2019	3	30	0	0	6.7
2019	3	31	0	0	6.5
2019	4	1	0	0	5.1
2019	4	2	0	0	6.3
2019	4	3	0	0	1.3
2019	4	4	0	0	-3.8
2019	4	5	0	0	-3.0
2019	4	6	0	0	3.2
2019	4	7	0	0	1.5
2019	4	8	0	0	1.2
2019	4	9	0	0	1.4
2019	4	10	0	0	1.4
2019	4	11	0	0	-0.2
2019	4	12	0	0	-1.8
2019	4	13	0	0	-3.2
2019	4	14	0	0	-4.5
2019	4	15	0	0	0.0
2019	4	16	0	0	3.9
2019	4	17	0	0	4.7
2019	4	18	0	0	8.2
2019	4	19	0	0	9.9
2019	4	20	0	0	10.1
2019	4	21	0	0	9.9
2019	4	22	0	0	10.8
2019	4	23	0	0	10.6
2019	4	24	0	0	8.4
2019	4	25	0	0	8.0
2019	4	26	0	0	0.0
2019	4	27	0	0	-0.3
2019	4	28	0	0	-0.6
2019	4	29	0	0	-0.9
2019	4	30	0	0	1.4
2019	5	1	0	0	5.1
2019	5	2	0	0	4.7
2019	5	3	0	0	1.2
2019	5	4	0	0	-2.3
2019	5	5	0	0	-2.6
2019	5	6	0	0	-2.8
2019	5	7	0	0	0.7
2019	5	8	0	0	2.8
2019	5	9	0	0	3.1
2019	5	10	0	0	3.4
2019	5	11	0	0	5.3
2019	5	12	0	0	2.5
2019	5	13	0	0	3.2
2019	5	14	0	0	3.1
2019	5	15	0	0	2.0
2019	5	16	0	0	1.4
2019	5	17	0	0	5.6
2019	5	18	0	0	6.1
2019	5	19	0	0	5.6
2019	5	20	0	0	5.5
2019	5	21	0	0	4.2
2019	5	22	0	0	6.0
2019	5	23	0	0	7.8
2019	5	24	0	0	10.1
2019	5	25	0	0	8.9
2019	5	26	0	0	8.3
2019	5	27	0	0	7.9
2019	5	28	0	0	5.8
2019	5	29	0	0	3.7
2019	5	30	0	0	7.2
2019	5	31	0	0	10.4
2019	6	1	0	0	13.6
2019	6	2	0	0	16.1
2019	6	3	0	0	15.6
2019	6	4	0	0	17.2
2019	6	5	0	0	16.3
2019	6	6	0	0	4.8
2019	6	7	0	0	10.0
2019	6	8	0	0	9.6
2019	6	9	0	0	9.1
2019	6	10	0	0	9.1
2019	6	11	0	0	6.8
2019	6	12	0	0	9.2
2019	6	13	0	0	11.5
2019	6	14	0	0	13.9
2019	6	15	0	0	13.4
2019	6	16	0	0	12.8
2019	6	17	0	0	12.3
2019	6	18	0	0	15.8
2019	6	19	0	0	16.3
2019	6	20	0	0	11.0
2019	6	21	0	0	11.1
2019	6	22	0	0	10.3
2019	6	23	0	0	12.4
2019	6	24	0	0	18.3
2019	6	25	0	0	22.9
2019	6	26	0	0	24.4
2019	6	27	0	0	22.6
2019	6	28	0	0	18.7
2019	6	29	0	0	19.7
2019	6	30	0	0	21.8
2019	7	1	0	0	20.5
2019	7	2	0	0	16.1
2019	7	3	0	0	14.5
2019	7	4	0	0	14.5
2019	7	5	0	0	16.8
2019	7	6	0	0	16.9
2019	7	7	0	0	13.0
2019	7	8	0	0	9.9
2019	7	9	0	0	10.4
2019	7	10	0	0	10.9
2019	7	11	0	0	11.4
2019	7	12	0	0	11.3
2019	7	13	0	0	9.9
2019	7	14	0	0	8.5
2019	7	15	0	0	10.6
2019	7	16	0	0	12.6
2019	7	17	0	0	14.0
2019	7	18	0	0	14.2
2019	7	19	0	0	14.3
2019	7	20	0	0	17.0
2019	7	21	0	0	14.7
2019	7	22	0	0	17.2
2019	7	23	0	0	20.2
2019	7	24	0	0	22.4
2019	7	25	0	0	23.4
2019	7	26	0	0	20.9
2019	7	27	0	0	13.5
2019	7	28	0	0	10.7
2019	7	29	0	0	13.6
2019	7	30	0	0	15.7
2019	7	31	0	0	12.5
2019	8	1	0	0	13.8
2019	8	2	0	0	13.0
2019	8	3	0	0	13.8
2019	8	4	0	0	14.5
2019	8	5	0	0	16.8
2019	8	6	0	0	14.1
2019	8	7	0	0	11.6
2019	8	8	0	0	13.4
2019	8	9	0	0	18.2
2019	8	10	0	0	12.8
2019	8	11	0	0	13.0
2019	8	12	0	0	9.2
2019	8	13	0	0	7.4
2019	8	14	0	0	8.9
2019	8	15	0	0	9.1
2019	8	16	0	0	10.5
2019	8	17	0	0	13.2
2019	8	18	0	0	16.1
2019	8	19	0	0	10.8
2019	8	20	0	0	8.2
2019	8	21	0	0	8.1
2019	8	22	0	0	10.8
2019	8	23	0	0	11.5
2019	8	24	0	0	14.2
2019	8	25	0	0	16.2
2019	8	26	0	0	17.1
2019	8	27	0	0	17.6
2019	8	28	0	0	17.6
2019	8	29	0	0	16.1
2019	8	30	0	0	16.2
2019	8	31	0	0	17.6
2019	9	1	0	0	12.3
2019	9	2	0	0	8.0
2019	9	3	0	0	10.4
2019	9	4	0	0	12.8
2019	9	5	0	0	8.1
2019	9	6	0	0	7.2
2019	9	7	0	0	7.6
2019	9	8	0	0	3.6
2019	9	9	0	0	5.6
2019	9	10	0	0	7.5
2019	9	11	0	0	8.6
2019	9	12	0	0	12.1
2019	9	13	0	0	13.6
2019	9	14	0	0	13.3
2019	9	15	0	0	16.0
2019	9	16	0	0	15.2
2019	9	17	0	0	10.3
2019	9	18	0	0	5.6
2019	9	19	0	0	4.3
2019	9	20	0	0	6.6
2019	9	21	0	0	13.1
2019	9	22	0	0	14.4
2019	9	23	0	0	6.6
2019	9	24	0	0	7.4
2019	9	25	0	0	7.9
2019	9	26	0	0	8.3
2019	9	27	0	0	7.2
2019	9	28	0	0	6.0
2019	9	29	0	0	9.1
2019	9	30	0	0	6.8
2019	10	1	0	0	8.9
2019	10	2	0	0	4.1
2019	10	3	0	0	1.4
2019	10	4	0	0	3.0
2019	10	5	0	0	4.6
2019	10	6	0	0	4.6
2019	10	7	0	0	2.8
2019	10	8	0	0	6.8
2019	10	9	0	0	3.9
2019	10	10	0	0	3.2
2019	10	11	0	0	7.3
2019	10	12	0	0	11.1
2019	10	13	0	0	14.5
2019	10	14	0	0	14.7
2019	10	15	0	0	8.1
2019	10	16	0	0	4.7
2019	10	17	0	0	7.0
2019	10	18	0	0	6.3
2019	10	19	0	0	6.1
2019	10	20	0	0	12.1
2019	10	21	0	0	7.8
2019	10	22	0	0	9.3
2019	10	23	0	0	15.3
2019	10	24	0	0	8.1
2019	10	25	0	0	6.7
2019	10	26	0	0	11.3
2019	10	27	0	0	8.7
2019	10	28	0	0	6.2
2019	10	29	0	0	3.1
2019	10	30	0	0	1.8
2019	10	31	0	0	4.5
2019	11	1	0	0	4.7
2019	11	2	0	0	6.3
2019	11	3	0	0	3.2
2019	11	4	0	0	2.1
2019	11	5	0	0	0.4
2019	11	6	0	0	-0.2
2019	11	7	0	0	-1.1
2019	11	8	0	0	-2.5
2019	11	9	0	0	-2.8
2019	11	10	0	0	-2.4
2019	11	11	0	0	-2.3
2019	11	12	0	0	-3.5
2019	11	13	0	0	-4.0
2019	11	14	0	0	-1.6
2019	11	15	0	0	-0.5
2019	11	16	0	0	-1.2
2019	11	17	0	0	-2.1
2019	11	18	0	0	-4.4
2019	11	19	0	0	-3.1
2019	11	20	0	0	-2.4
2019	11	21	0	0	1.0
2019	11	22	0	0	2.6
2019	11	23	0	0	7.1
2019	11	24	0	0	6.0
2019	11	25	0	0	4.8
2019	11	26	0	0	3.1
2019	11	27	0	0	2.8
2019	11	28	0	0	0.7
2019	11	29	0	0	-1.1
2019	11	30	0	0	-4.4
2019	12	1	0	0	-0.8
2019	12	2	0	0	-4.8
2019	12	3	0	0	-4.8
2019	12	4	0	0	4.6
2019	12	5	0	0	5.7
2019	12	6	0	0	1.7
2019	12	7	0	0	-0.2
2019	12	8	0	0	0.8
2019	12	9	0	0	-2.0
2019	12	10	0	0	-4.9
2019	12	11	0	0	-0.6
2019	12	12	0	0	-5.3
2019	12	13	0	0	-3.3
2019	12	14	0	0	-1.3
2019	12	15	0	0	2.9
2019	12	16	0	0	5.2
2019	12	17	0	0	8.2
2019	12	18	0	0	5.1
2019	12	19	0	0	7.6
2019	12	20	0	0	4.3
2019	12	21	0	0	-1.1
2019	12	22	0	0	-0.9
2019	12	23	0	0	-1.8
2019	12	24	0	0	-0.7
2019	12	25	0	0	-1.5
2019	12	26	0	0	-2.8
2019	12	27	0	0	-0.5
2019	12	28	0	0	-1.9
2019	12	29	0	0	1.6
2019	12	30	0	0	6.1
2019	12	31	0	0	6.3
2020	1	1	0	0	5.8
2020	1	2	0	0	1.2
2020	1	3	0	0	-0.1
2020	1	4	0	0	-2.8
2020	1	5	0	0	-2.7
2020	1	6	0	0	3.6
2020	1	7	0	0	-1.5
2020	1	8	0	0	3.8
